Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
1990,May,5,1990-05-01,68.46484375,54.4446875,72.4328125,-,65.11411458333333
1990,Jun,6,1990-06-01,95.1825,45.133187500000005,55.5028125,-,65.27283333333334
1990,Jul,7,1990-07-01,,,,-,59.041900000000005
1990,Aug,8,1990-08-01,48.88953125,31.271749999999997,34.07578125,-,38.07902083333334
1990,Sep,9,1990-09-01,38.04375,26.19275,18.4684375,-,27.5683125
1990,Oct,10,1990-10-01,34.869375,19.420749999999998,20.5846875,-,24.95827083333333
1990,Nov,11,1990-11-01,72.4328125,41.852999999999994,36.985625,-,50.4238125
1990,Dec,12,1990-12-01,46.50874999999999,41.9588125,42.27625,-,43.58127083333333
1991,Jan,1,1991-01-01,,,,-,46.3279
1991,Feb,2,1991-02-01,30.90140625,24.8171875,22.43640625,-,26.051666666666666
1991,Mar,3,1991-03-01,33.2821875,29.049687499999997,22.171875,-,28.167916666666667
1991,Apr,4,1991-04-01,66.0840625,32.753125,39.10187499999999,-,45.97968749999999
1991,May,5,1991-05-01,56.29640625,18.997500000000002,26.933437499999997,-,34.07578125
1991,Jun,6,1991-06-01,43.06984375,16.669625000000003,21.6428125,-,27.127427083333334
1991,Jul,7,1991-07-01,39.168007812499994,20.00271875,17.2119140625,-,25.460880208333332
1991,Aug,8,1991-08-01,19.844,14.659187500000002,12.437125,-,15.646770833333335
1991,Sep,9,1991-09-01,,,,-,42.3344
1991,Oct,10,1991-10-01,19.473656249999998,13.9396625,8.36334375,-,13.925554166666666
1991,Nov,11,1991-11-01,19.91454166666667,21.565216666666664,11.237916666666667,-,17.572558333333333
1991,Dec,12,1991-12-01,,,,-,36.173
1992,Jan,1,1992-01-01,23.512166666666666,11.971549999999999,15.399874999999998,-,16.96119722222222
1992,Feb,2,1992-02-01,,,,-,30.1583
1992,Mar,3,1992-03-01,13.001458333333332,9.93995,8.980583333333332,-,10.640663888888888
1992,Apr,4,1992-04-01,28.520625000000003,11.858683333333332,19.561833333333333,-,19.980380555555556
1992,May,5,1992-05-01,20.26725,13.072,11.308458333333334,-,14.882569444444444
1992,Jun,6,1992-06-01,,,,-,43.442800000000005
1992,Jul,7,1992-07-01,14.764999999999999,10.306766666666666,8.204625,-,11.092130555555556
1992,Aug,8,1992-08-01,24.49975,12.16906666666667,12.366583333333333,-,16.345133333333333
1992,Sep,9,1992-09-01,,,,-,33.4998
1992,Oct,10,1992-10-01,20.549416666666666,9.742433333333334,9.192208333333333,-,13.161352777777779
1992,Nov,11,1992-11-01,,,,-,42.2692
1992,Dec,12,1992-12-01,13.49525,14.144233333333336,9.686,-,12.44182777777778
1993,Jan,1,1993-01-01,55.608624999999996,57.54146666666666,119.58991666666668,-,77.58000277777778
1993,Feb,2,1993-02-01,,,,-,62.46490000000001
1993,Mar,3,1993-03-01,55.397000000000006,58.275099999999995,44.32195833333333,-,52.66468611111111
1993,Apr,4,1993-04-01,,,,-,53.7607
1993,May,5,1993-05-01,61.181416666666664,40.75255,34.37558333333333,-,45.43651666666667
1993,Jun,6,1993-06-01,78.53466666666667,47.32703333333333,45.09791666666666,-,56.98653888888888
1993,Jul,7,1993-07-01,,,,-,59.449400000000004
1993,Aug,8,1993-08-01,58.218666666666664,55.84846666666666,28.379541666666668,-,47.48222499999999
1993,Sep,9,1993-09-01,,,,-,32.6522
1993,Oct,10,1993-10-01,32.329875,20.916233333333334,17.163416666666667,-,23.469841666666667
1993,Nov,11,1993-11-01,,,,-,29.7997
1993,Dec,12,1993-12-01,47.00254166666666,38.52343333333333,37.6205,-,41.048824999999994
1994,Jan,1,1994-01-01,19.702916666666667,18.884633333333333,9.051124999999999,-,15.879558333333334
1994,Feb,2,1994-02-01,24.49975,16.754275,9.5801875,-,16.9447375
1994,Mar,3,1994-03-01,33.599624999999996,23.272325,11.590625,-,22.820858333333334
1994,Apr,4,1994-04-01,19.844,18.74355,13.706875,-,17.431475000000002
1994,May,5,1994-05-01,34.022875,51.206825,63.967812499999994,-,49.73250416666667
1994,Jun,6,1994-06-01,37.9379375,51.884024999999994,52.645875,-,47.489279166666655
1994,Jul,7,1994-07-01,76.347875,51.37612499999999,45.66224999999999,-,57.79541666666666
1994,Aug,8,1994-08-01,38.1495625,28.393649999999997,25.981125000000002,-,30.841445833333335
1994,Sep,9,1994-09-01,46.826187499999996,24.2458,35.927499999999995,-,35.66649583333333
1994,Oct,10,1994-10-01,28.838062499999996,21.537,16.88125,-,22.418770833333337
1994,Nov,11,1994-11-01,34.1286875,39.27117499999999,49.57731249999999,-,40.992391666666656
1994,Dec,12,1994-12-01,61.6399375,61.534124999999996,94.2301875,-,72.46808333333333
1995,Jan,1,1995-01-01,44.2866875,43.842274999999994,57.830687499999996,-,48.65321666666667
1995,Feb,2,1995-02-01,34.1286875,37.28189999999999,38.3611875,-,36.59059166666666
1995,Mar,3,1995-03-01,40.794875,32.96475,42.064625,-,38.60808333333333
1995,Apr,4,1995-04-01,55.7144375,50.191024999999996,37.0914375,-,47.665633333333325
1995,May,5,1995-05-01,75.28975,68.81402499999999,56.560937499999994,-,66.88823749999999
1995,Jun,6,1995-06-01,75.501375,51.545425,41.218125,-,56.08830833333334
1995,Jul,7,1995-07-01,62.59224999999999,43.503675,44.2866875,-,50.127537499999995
1995,Aug,8,1995-08-01,47.35525,29.40945,28.8380625,-,35.200920833333335
